"","tconst","m1","m2","m3","m4"
"1959","tt0052106","the philadelphia story","for whom the bell tolls","dr. strangelove or: how i learned to stop worrying and love the bomb","harold and maude"
"1960","tt0052126","my man godfrey","bringing up baby","rear window","north by northwest"
"1961","tt0052141","it happened one night","casablanca","rear window","my fair lady"
"1962","tt0052151","the maltese falcon","casablanca","the bridge on the river kwai","the great escape"
"1963","tt0052182","casablanca","the african queen","rear window","12 angry men"
"1964","tt0052190","the philadelphia story","an american in paris","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1965","tt0052216","casablanca","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"1966","tt0052218","metropolis","the wizard of oz","lawrence of arabia","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1967","tt0052225","the wizard of oz","casablanca","my fair lady","the sound of music"
"1968","tt0052270","the treasure of the sierra madre","the third man","to kill a mockingbird","sin city"
"1969","tt0052275","ator, the fighting eagle","bloodsport","iron warrior","ong-bak: the thai warrior"
"1970","tt0052278","it happened one night","mr. smith goes to washington","the wizard of oz","to kill a mockingbird"
"1971","tt0052283","snow white and the seven dwarfs","pinocchio","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1972","tt0052287","an american in paris","singin' in the rain","faster, pussycat! kill! kill!","spirits of the dead"
"1973","tt0052296","it happened one night","snow white and the seven dwarfs","pinocchio","rear window"
"1974","tt0052311","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1975","tt0052320","the day the earth stood still","the blob","star wars: episode vi - return of the jedi","back to the future"
"1976","tt0052354","singin' in the rain","breakfast at tiffany's","dr. strangelove or: how i learned to stop worrying and love the bomb","batman"
"1977","tt0052357","casablanca","rear window","north by northwest","psycho"
"1978","tt0052365","ben-hur","spartacus","the great escape","the terminator"
"1979","tt0052374","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner","the name of the rose"
"1980","tt0052415","citizen kane","casablanca","on the waterfront","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1981","tt0052543","the 39 steps","it's a wonderful life","cat on a hot tin roof","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1982","tt0052549","snow white and the seven dwarfs","the philadelphia story","pinocchio","batman"
"1983","tt0052556","vertigo","the fire within","persona","samurai rebellion"
"1984","tt0052561","casablanca","rear window","vertigo","north by northwest"
"1985","tt0052564","the time machine","2001: a space odyssey","the terminator","aliens"
"1986","tt0052572","citizen kane","casablanca","pather panchali","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1987","tt0052600","citizen kane","lawrence of arabia","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"1988","tt0052602","frankenstein","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"1989","tt0052607","dr. strangelove or: how i learned to stop worrying and love the bomb","children of a lesser god","casual sex?","spirited away"
"1990","tt0052618","the wizard of oz","casablanca","lawrence of arabia","star wars: episode vi - return of the jedi"
"1991","tt0052619","the philadelphia story","singin' in the rain","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"1992","tt0052631","casablanca","rear window","vertigo","north by northwest"
"1993","tt0052646","psycho","night of the living dead","planet of the apes","evil dead ii"
"1994","tt0052654","casablanca","12 angry men","dr. strangelove or: how i learned to stop worrying and love the bomb","the graduate"
"1995","tt0052655","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange","harold and maude"
"1996","tt0052680","stalag 17","the longest day","the great escape","patton"
"1997","tt0052698","the philadelphia story","the third man","vertigo","north by northwest"
"1998","tt0052700","casablanca","strangers on a train","rear window","psycho"
"1999","tt0052708","the maltese falcon","8½","tokyo drifter","branded to kill"
"2000","tt0052713","late spring","ordet","the apartment","andrei rublev"
"2001","tt0052722","the wizard of oz","willy wonka & the chocolate factory","star wars: episode vi - return of the jedi","the princess bride"
"2002","tt0052724","citizen kane","casablanca","out of the past","sunset boulevard"
"2003","tt0052738","the wizard of oz","casablanca","to kill a mockingbird","the sound of music"
"2004","tt0052809","snow white and the seven dwarfs","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb","the aristocats"
"2005","tt0052811","the maltese falcon","casablanca","north by northwest","charade"
"2006","tt0052832","psycho","a clockwork orange","raising arizona","dangerous liaisons"
"2007","tt0052846","mary poppins","ghostbusters","aliens","evil dead ii"
"2008","tt0052847","the wizard of oz","mary poppins","the princess bride","finding nemo"
"2009","tt0052861","bicycle thieves","12 angry men","city of god","the dark knight"
"2010","tt0052877","casablanca","sunset boulevard","some like it hot","the collector"
"2011","tt0052880","pinocchio","barbarella","the aristocats","batman"
"2012","tt0052888","2001: a space odyssey","brazil","the princess bride","batman"
"2013","tt0052893","citizen kane","the seventh seal","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2014","tt0052896","all about eve","east of eden","giant","2001: a space odyssey"
"2015","tt0052897","the philadelphia story","singin' in the rain","funny face","vertigo"
"2016","tt0052902","casablanca","the searchers","the bridge on the river kwai","the great escape"
"2017","tt0052905","vertigo","north by northwest","2001: a space odyssey","blade runner"
"2018","tt0052911","the wizard of oz","citizen kane","the maltese falcon","casablanca"
"2019","tt0052918","citizen kane","rear window","vertigo","psycho"
"2020","tt0052920","the wizard of oz","citizen kane","2001: a space odyssey","blade runner"
"2021","tt0052933","snow white and the seven dwarfs","rear window","north by northwest","my fair lady"
"2022","tt0052939","the last laugh","psycho","2001: a space odyssey","the french connection"
"2023","tt0052948","2001: a space odyssey","planet of the apes","star wars: episode vi - return of the jedi","back to the future"
"2024","tt0052961","citizen kane","casablanca","pather panchali","8½"
"2025","tt0052969","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","ghostbusters","die hard"
"2026","tt0052990","my neighbor totoro","spirited away","city of god","the lives of others"
"2027","tt0052993","the african queen","the bridge on the river kwai","dr. strangelove or: how i learned to stop worrying and love the bomb","patton"
"2028","tt0052997","force of evil","the world of apu","bonnie and clyde","the st. valentine's day massacre"
"2029","tt0053001","city lights","sunset boulevard","singin' in the rain","the last picture show"
"2030","tt0053003","charade","harry potter and the chamber of secrets","stardust","wall·e"
"2031","tt0053044","north by northwest","the good, the bad and the ugly","a clockwork orange","withnail & i"
"2032","tt0053084","citizen kane","casablanca","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2033","tt0053085","king kong","psycho","star wars: episode vi - return of the jedi","ghostbusters"
"2034","tt0053106","seven samurai","the good, the bad and the ugly","2001: a space odyssey","there will be blood"
"2035","tt0053114","seven samurai","the human condition iii: a soldier's prayer","harakiri","2001: a space odyssey"
"2036","tt0053115","seven samurai","the human condition i: no greater love","the human condition iii: a soldier's prayer","harakiri"
"2037","tt0053121","citizen kane","casablanca","paths of glory","the seventh seal"
"2038","tt0053125","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2039","tt0053131","gone with the wind","the wizard of oz","the grapes of wrath","all about eve"
"2040","tt0053133","the wizard of oz","the maltese falcon","rear window","north by northwest"
"2041","tt0053134","rashomon","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","spirited away"
"2042","tt0053137","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2043","tt0053143","casablanca","rear window","north by northwest","the princess bride"
"2044","tt0053146","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2045","tt0053168","rear window","seven samurai","vertigo","2001: a space odyssey"
"2046","tt0053172","it's a wonderful life","singin' in the rain","the sound of music","the princess bride"
"2047","tt0053176","citizen kane","once upon a time in the west","back to the future","the dark knight"
"2048","tt0053182","modern times","arsenic and old lace","children of paradise","mary poppins"
"2049","tt0053183","the bridge on the river kwai","run silent run deep","lawrence of arabia","the great escape"
"2050","tt0053198","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2051","tt0053214","back to the future","the goonies","finding nemo","28 days later..."
"2052","tt0053219","the fly","psycho","2001: a space odyssey","blade runner"
"2053","tt0053220","casablanca","the good, the bad and the ugly","back to the future","ferris bueller's day off"
"2054","tt0053221","citizen kane","casablanca","rear window","the good, the bad and the ugly"
"2055","tt0053226","casablanca","all about eve","a streetcar named desire","rear window"
"2056","tt0053240","fistful of dollars","the good, the bad and the ugly","blade runner","brazil"
"2057","tt0053244","the maltese falcon","casablanca","sunset boulevard","investigation of a citizen above suspicion"
"2058","tt0053258","citizen kane","the seventh seal","8½","koyaanisqatsi"
"2059","tt0053270","citizen kane","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2060","tt0053271","the wizard of oz","mary poppins","willy wonka & the chocolate factory","e.t. the extra-terrestrial"
"2061","tt0053285","snow white and the seven dwarfs","the wizard of oz","cinderella","the princess bride"
"2062","tt0053290","snow white and the seven dwarfs","pinocchio","the aristocats","oliver & company"
"2063","tt0053291","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2064","tt0053298","the philadelphia story","singin' in the rain","funny face","vertigo"
"2065","tt0053317","12 angry men","grave of the fireflies","city of god","interstellar"
"2066","tt0053318","citizen kane","casablanca","a streetcar named desire","psycho"
"2067","tt0053319","serenity","harry potter and the half-blood prince","harry potter and the deathly hallows: part 1","x-men: first class"
"2068","tt0053320","it's a wonderful life","vertigo","to kill a mockingbird","my fair lady"
"2069","tt0053334","snow white and the seven dwarfs","the adventures of robin hood","casablanca","davy crockett: king of the wild frontier"
"2070","tt0053337","2001: a space odyssey","blade runner","donnie darko","shaun of the dead"
"2071","tt0053361","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"2072","tt0053363","frankenstein","king kong","invasion of the body snatchers","psycho"
"2073","tt0053390","tokyo story","rear window","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2074","tt0053434","for a few dollars more","the good, the bad and the ugly","butch cassidy and the sundance kid","once upon a time in the west"
"2075","tt0053454","earth vs. the flying saucers","and now for something completely different","aliens","joe dirt"
"2076","tt0053458","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"2077","tt0053459","vertigo","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2078","tt0053462","a raisin in the sun","cool hand luke","the pianist","hotel rwanda"
"2079","tt0053472","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"2080","tt0053559","star wars: episode vi - return of the jedi","back to the future","aliens","300"
"2081","tt0053571","2001: a space odyssey","amadeus","rain man","the abyss"
"2082","tt0053579","tokyo story","seven samurai","2001: a space odyssey","spirited away"
"2083","tt0053580","the bridge on the river kwai","the great escape","the dirty dozen","butch cassidy and the sundance kid"
"2084","tt0053593","pinocchio","2001: a space odyssey","willy wonka & the chocolate factory","batman"
"2085","tt0053604","casablanca","rear window","some like it hot","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2086","tt0053611","pinocchio","2001: a space odyssey","willy wonka & the chocolate factory","batman"
"2087","tt0053619","seven samurai","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2088","tt0053622","rebecca","all about eve","an american in paris","vertigo"
"2089","tt0053644","casablanca","rear window","paths of glory","this is spinal tap"
"2090","tt0053645","casablanca","singin' in the rain","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2091","tt0053666","citizen kane","casablanca","double indemnity","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2092","tt0053677","the good, the bad and the ugly","my neighbor totoro","spirited away","inception"
"2093","tt0053696","snow white and the seven dwarfs","the philadelphia story","pinocchio","blade runner"
"2094","tt0053716","the wizard of oz","12 angry men","the sound of music","to sir, with love"
"2095","tt0053717","pinocchio","dumbo","willy wonka & the chocolate factory","batman"
"2096","tt0053719","dracula","the wolf man","2001: a space odyssey","poltergeist"
"2097","tt0053729","citizen kane","the maltese falcon","casablanca","seven samurai"
"2098","tt0053746","citizen kane","husbands","take care of my cat","lost in translation"
"2099","tt0053765","the seventh seal","to kill a mockingbird","8½","persona"
"2100","tt0053772","yojimbo","akira","spirited away","inception"
"2101","tt0053779","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2102","tt0053793","citizen kane","casablanca","to kill a mockingbird","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2103","tt0053796","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","mash"
"2104","tt0053800","the little princess","the wizard of oz","the sound of music","dirty dancing"
"2105","tt0053804","the wizard of oz","casablanca","to kill a mockingbird","e.t. the extra-terrestrial"
"2106","tt0053825","rio grande","the seven year itch","my fair lady","butch cassidy and the sundance kid"
"2107","tt0053841","gone with the wind","all about eve","an affair to remember","dirty dancing"
"2108","tt0053848","gentlemen prefer blondes","blue hawaii","romancing the stone","back to the future"
"2109","tt0053856","the grapes of wrath","citizen kane","the maltese falcon","seven samurai"
"2110","tt0053877","bringing up baby","casablanca","rear window","north by northwest"
"2111","tt0053882","the maltese falcon","abbott and costello meet frankenstein","the 7th voyage of sinbad","2001: a space odyssey"
"2112","tt0053917","citizen kane","the maltese falcon","casablanca","million dollar baby"
"2113","tt0053925","psycho","pit and the pendulum","the masque of the red death","a clockwork orange"
"2114","tt0053935","dr. strangelove or: how i learned to stop worrying and love the bomb","the good, the bad and the ugly","the terminator","full metal jacket"
"2115","tt0053946","citizen kane","casablanca","12 angry men","to kill a mockingbird"
"2116","tt0053967","citizen kane","all about eve","12 angry men","full moon in paris"
"2117","tt0053976","rashomon","the seventh seal","wild strawberries","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2118","tt0053987","ivan's childhood","andrei rublev","a clockwork orange","blade runner"
"2119","tt0053994","the wizard of oz","the parent trap","the great escape","mary poppins"
"2120","tt0054001","modern times","the great dictator","dr. strangelove or: how i learned to stop worrying and love the bomb","full metal jacket"
"2121","tt0054022","rear window","finding nemo","pirates of the caribbean: the curse of the black pearl","up"
"2122","tt0054033","the wizard of oz","psycho","ghostbusters","the princess bride"
"2123","tt0054042","m","2001: a space odyssey","oldboy","no country for old men"
"2124","tt0054047","casablanca","the great escape","the good, the bad and the ugly","blade runner"
"2125","tt0054067","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","night of the living dead","blade runner"
"2126","tt0054073","citizen kane","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2127","tt0054084","it happened one night","snow white and the seven dwarfs","pinocchio","rear window"
"2128","tt0054115","casablanca","sunset boulevard","some like it hot","the collector"
"2129","tt0054127","it's a wonderful life","singin' in the rain","die hard","pirates of the caribbean: the curse of the black pearl"
"2130","tt0054130","the seventh seal","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"2131","tt0054135","star wars: episode vi - return of the jedi","back to the future","the bourne identity","pirates of the caribbean: the curse of the black pearl"
"2132","tt0054144","late spring","tokyo story","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2133","tt0054152","casablanca","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb","the graduate"
"2134","tt0054156","orpheus","the world of apu","breathless","l'eclisse"
"2135","tt0054167","citizen kane","rear window","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2136","tt0054169","citizen kane","who framed roger rabbit","back to the future part ii","spirited away"
"2137","tt0054177","bicycle thieves","north by northwest","psycho","jules and jim"
"2138","tt0054188","it's a wonderful life","rear window","my fair lady","the sound of music"
"2139","tt0054189","citizen kane","rear window","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2140","tt0054195","the wizard of oz","mary poppins","the sound of music","the princess bride"
"2141","tt0054198","casablanca","rear window","some like it hot","mash"
"2142","tt0054205","it happened one night","citizen kane","sunset boulevard","the umbrellas of cherbourg"
"2143","tt0054215","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2144","tt0054240","casablanca","a clockwork orange","full metal jacket","kill bill: vol. 1"
"2145","tt0054248","seven samurai","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2146","tt0054269","citizen kane","double indemnity","the third man","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2147","tt0054279","casablanca","it's a wonderful life","rear window","the bridge on the river kwai"
"2148","tt0054310","casablanca","the bridge on the river kwai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2149","tt0054325","vertigo","north by northwest","breakfast at tiffany's","batman"
"2150","tt0054331","casablanca","lawrence of arabia","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2151","tt0054343","gone with the wind","the little princess","the wizard of oz","sabrina"
"2152","tt0054345","ikiru","sansho the bailiff","eternal sunshine of the spotless mind","once"
"2153","tt0054357","the wizard of oz","mary poppins","star wars: episode vi - return of the jedi","the princess bride"
"2154","tt0054371","the third man","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2155","tt0054377","beauty and the beast","sunset boulevard","blade runner","ran"
"2156","tt0054380","the 39 steps","the 400 blows","the goonies","18 again!"
"2157","tt0054387","2001: a space odyssey","blade runner","the terminator","back to the future"
"2158","tt0054389","citizen kane","casablanca","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2159","tt0054407","12 angry men","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"2160","tt0054412","the maltese falcon","rashomon","sunset boulevard","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2161","tt0054413","the great dictator","dr. strangelove or: how i learned to stop worrying and love the bomb","butch cassidy and the sundance kid","once upon a time in the west"
"2162","tt0054416","death in the garden","barbarella","the aristocats","blade runner"
"2163","tt0054417","rear window","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2164","tt0054425","north by northwest","blade runner","the name of the rose","die hard"
"2165","tt0054428","dr. strangelove or: how i learned to stop worrying and love the bomb","the good, the bad and the ugly","blade runner","full metal jacket"
"2166","tt0054443","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blade runner"
"2167","tt0054452","casablanca","sunset boulevard","la dolce vita","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2168","tt0054453","to catch a thief","charade","my fair lady","the aristocats"
"2169","tt0054460","rashomon","seven samurai","yojimbo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2170","tt0054462","pinocchio","barbarella","the aristocats","batman"
"2171","tt0054469","the heiress","all about eve","from here to eternity","friendly persuasion"
"2172","tt0054476","casablanca","it's a wonderful life","on the waterfront","bonnie and clyde"
"2173","tt0054483","first blood","indiana jones and the temple of doom","romancing the stone","crocodile dundee"
"2174","tt0054494","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner","brazil","eternal sunshine of the spotless mind"
"2175","tt0054594","the wizard of oz","mary poppins","e.t. the extra-terrestrial","back to the future"
"2176","tt0054599","seven samurai","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange"
"2177","tt0054632","citizen kane","the seventh seal","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2178","tt0054642","2001: a space odyssey","ghostbusters","big trouble in little china","batman"
"2179","tt0054649","the wizard of oz","mary poppins","willy wonka & the chocolate factory","e.t. the extra-terrestrial"
"2180","tt0054653","the philadelphia story","sunset boulevard","amadeus","a fish called wanda"
"2181","tt0054665","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","the princess bride"
"2182","tt0054673","2001: a space odyssey","batman","hulk","batman begins"
"2183","tt0054687","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blue velvet"
"2184","tt0054692","singin' in the rain","lady and the tramp","some like it hot","the princess bride"
"2185","tt0054698","the wizard of oz","casablanca","the graduate","the princess bride"
"2186","tt0054734","paths of glory","vertigo","north by northwest","breakfast at tiffany's"
"2187","tt0054743","the wizard of oz","casablanca","rear window","some like it hot"
"2188","tt0054745","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","eternal sunshine of the spotless mind"
"2189","tt0054749","casablanca","some like it hot","lawrence of arabia","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2190","tt0054757","gone with the wind","the bridge on the river kwai","cool hand luke","the princess bride"
"2191","tt0054759","12 angry men","star wars: episode vi - return of the jedi","finding nemo","batman begins"
"2192","tt0054763","laura","all about eve","cool hand luke","the conformist"
"2193","tt0054777","pinocchio","barbarella","the aristocats","batman"
"2194","tt0054790","the day the earth stood still","2001: a space odyssey","blade runner","brazil"
"2195","tt0054803","some like it hot","2001: a space odyssey","blade runner","die hard"
"2196","tt0054805","a clockwork orange","the outsiders","american pie 2","road to perdition"
"2197","tt0054817","of human bondage","the wizard of oz","it's a wonderful life","sunset boulevard"
"2198","tt0054821","casablanca","north by northwest","the good, the bad and the ugly","le samouraï"
"2199","tt0054845","citizen kane","tokyo story","seven samurai","the 400 blows"
"2200","tt0054847","casablanca","lawrence of arabia","the good, the bad and the ugly","batman begins"
"2201","tt0054853","gone with the wind","dr. strangelove or: how i learned to stop worrying and love the bomb","this is spinal tap","back to the future"
"2202","tt0054861","citizen kane","the maltese falcon","all about eve","the world of apu"
"2203","tt0054866","citizen kane","the maltese falcon","laura","all about eve"
"2204","tt0054885","singin' in the rain","the parent trap","the sound of music","cinema paradiso"
"2205","tt0054890","gone with the wind","singin' in the rain","lawrence of arabia","cinema paradiso"
"2206","tt0054892","snow white and the seven dwarfs","pinocchio","an american in paris","oliver & company"
"2207","tt0054936","the philadelphia story","inglourious basterds","drive","the grand budapest hotel"
"2208","tt0054944","gone with the wind","mr. smith goes to washington","to kill a mockingbird","the sound of music"
"2209","tt0054953","casablanca","the bridge on the river kwai","the great escape","the terminator"
"2210","tt0054988","m","the bank dick","last year at marienbad","sans soleil"
"2211","tt0054997","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2212","tt0055018","rear window","vertigo","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2213","tt0055019","casablanca","sunset boulevard","the good, the bad and the ugly","a clockwork orange"
"2214","tt0055024","gaslight","rear window","the seventh seal","blade runner"
"2215","tt0055031","casablanca","rear window","12 angry men","to kill a mockingbird"
"2216","tt0055032","citizen kane","casablanca","the 400 blows","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2217","tt0055038","modern times","the great dictator","inspector palmu's error","inception"
"2218","tt0055047","it's a wonderful life","the african queen","to kill a mockingbird","the breakfast club"
"2219","tt0055052","tokyo story","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange"
"2220","tt0055069","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a fish called wanda","who framed roger rabbit"
"2221","tt0055073","it happened one night","snow white and the seven dwarfs","pinocchio","rear window"
"2222","tt0055082","casablanca","wild strawberries","persona","before sunset"
"2223","tt0055093","modern times","rear window","vertigo","8½"
"2224","tt0055100","it's a wonderful life","rear window","pillow talk","send me no flowers"
"2225","tt0055114","ator, the fighting eagle","bloodsport","iron warrior","ong-bak: the thai warrior"
"2226","tt0055151","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blade runner"
"2227","tt0055153","metropolis","wild strawberries","dr. strangelove or: how i learned to stop worrying and love the bomb","rosemary's baby"
"2228","tt0055184","casablanca","rear window","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2229","tt0055198","bride of frankenstein","godzilla","beetlejuice","wall·e"
"2230","tt0055200","citizen kane","psycho","poltergeist","the breakfast club"
"2231","tt0055205","it's a wonderful life","rope","witness for the prosecution","the apartment"
"2232","tt0055207","the day the earth stood still","the time machine","star trek ii: the wrath of khan","the terminator"
"2233","tt0055230","rear window","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","the wild bunch"
"2234","tt0055233","seven samurai","the human condition i: no greater love","the human condition ii: road to eternity","harakiri"
"2235","tt0055254","snow white and the seven dwarfs","the wizard of oz","lady and the tramp","mary poppins"
"2236","tt0055256","casablanca","rear window","some like it hot","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2237","tt0055257","casablanca","it's a wonderful life","on the waterfront","lawrence of arabia"
"2238","tt0055277","the wizard of oz","mary poppins","the sound of music","the princess bride"
"2239","tt0055278","snow white and the seven dwarfs","pinocchio","city of god","inglourious basterds"
"2240","tt0055304","psycho","the birds","2001: a space odyssey","the terminator"
"2241","tt0055310","seven samurai","paths of glory","dr. strangelove or: how i learned to stop worrying and love the bomb","ran"
"2242","tt0055312","the wizard of oz","it's a wonderful life","miracle on 34th street","back to the future"
"2243","tt0055320","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange","eternal sunshine of the spotless mind"
"2244","tt0055353","the wizard of oz","citizen kane","casablanca","to kill a mockingbird"
"2245","tt0055399","12 angry men","8½","the good, the bad and the ugly","wings of desire"
"2246","tt0055458","the thin man","it's a wonderful life","roman holiday","the princess bride"
"2247","tt0055471","gone with the wind","the wizard of oz","casablanca","to kill a mockingbird"
"2248","tt0055499","the seventh seal","wild strawberries","dr. strangelove or: how i learned to stop worrying and love the bomb","persona"
"2249","tt0055503","the philadelphia story","singin' in the rain","funny face","vertigo"
"2250","tt0055505","north by northwest","psycho","e.t. the extra-terrestrial","back to the future"
"2251","tt0055506","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","e.t. the extra-terrestrial"
"2252","tt0055508","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"2253","tt0055539","it happened one night","rear window","the apartment","to kill a mockingbird"
"2254","tt0055558","casablanca","it's a wonderful life","rear window","once upon a time in the west"
"2255","tt0055571","only angels have wings","his girl friday","rio bravo","8½"
"2256","tt0055572","rear window","vertigo","the 400 blows","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2257","tt0055597","the maltese falcon","casablanca","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2258","tt0055601","citizen kane","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange"
"2259","tt0055602","dr. strangelove or: how i learned to stop worrying and love the bomb","the good, the bad and the ugly","the wild bunch","die hard"
"2260","tt0055608","the time machine","2001: a space odyssey","planet of the apes","the terminator"
"2261","tt0055614","the wizard of oz","casablanca","singin' in the rain","the sound of music"
"2262","tt0055618","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","the umbrellas of cherbourg","the wild bunch"
"2263","tt0055630","casablanca","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2264","tt0055635","the terminator","back to the future","aliens","die hard"
"2265","tt0055644","letter from siberia","the battle of algiers","sans soleil","citizenfour"
"2266","tt0055719","the good, the bad and the ugly","300","little miss sunshine","the dark knight"
"2267","tt0055728","citizen kane","casablanca","12 angry men","to kill a mockingbird"
"2268","tt0055746","casablanca","breakfast at tiffany's","charade","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2269","tt0055758","kill bill: vol. 1","extreme ops","confidence","runaway jury"
"2270","tt0055763","a streetcar named desire","some like it hot","the apartment","e.t. the extra-terrestrial"
"2271","tt0055774","high noon","seven samurai","spartacus","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2272","tt0055781","the philadelphia story","singin' in the rain","funny face","vertigo"
"2273","tt0055796","citizen kane","casablanca","all about eve","singin' in the rain"
"2274","tt0055798","casablanca","it's a wonderful life","12 angry men","to kill a mockingbird"
"2275","tt0055805","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blade runner","the grand budapest hotel"
