"","tconst","m1","m2","m3","m4"
"74","tt0015310","snow white and the seven dwarfs","the philadelphia story","pinocchio","blade runner"
"75","tt0015324","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"76","tt0015361","battleship potemkin","citizen kane","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb"
"77","tt0015400","citizen kane","seven samurai","blade runner","the princess bride"
"78","tt0015532","metropolis","dr. strangelove or: how i learned to stop worrying and love the bomb","my neighbor totoro","spirited away"
"79","tt0015624","bicycle thieves","sunset boulevard","seven samurai","north by northwest"
"80","tt0015648","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"81","tt0015693","the shaggy dog","a christmas story","top gun","die hard"
"82","tt0015758","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"83","tt0015841","the wizard of oz","citizen kane","it's a wonderful life","north by northwest"
"84","tt0015863","the general","duck soup","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb"
"85","tt0015864","modern times","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"86","tt0015873","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"87","tt0015881","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"88","tt0016013","the world of apu","dr. strangelove or: how i learned to stop worrying and love the bomb","belle de jour","faces"
"89","tt0016029","it happened one night","the wizard of oz","the philadelphia story","it's a wonderful life"
"90","tt0016039","the wizard of oz","2001: a space odyssey","star wars: episode vi - return of the jedi","back to the future"
"91","tt0016104","gone with the wind","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"92","tt0016220","the wizard of oz","citizen kane","sunset boulevard","psycho"
"93","tt0016230","citizen kane","west side story","avatar","dear zachary: a letter to a son about his father"
"94","tt0016332","the general","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"95","tt0016473","the cabinet of dr. caligari","the 400 blows","knife in the water","rosemary's baby"
"96","tt0016481","double indemnity","meet me in st. louis","the umbrellas of cherbourg","cabaret"
"97","tt0016544","the wizard of oz","finding nemo","batman begins","the dark knight"
"98","tt0016630","the general","duck soup","citizen kane","the maltese falcon"
"99","tt0016640","it happened one night","the philadelphia story","casablanca","north by northwest"
"100","tt0016641","the wizard of oz","casablanca","ben-hur","star wars: episode vi - return of the jedi"
"101","tt0016654","citizen kane","casablanca","it's a wonderful life","2001: a space odyssey"
"102","tt0016822","the little princess","the wizard of oz","the sound of music","dirty dancing"
"103","tt0016847","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"104","tt0016884","grand hotel","modern times","a clockwork orange","blade runner"
"105","tt0016895","citizen kane","dumbo","the good, the bad and the ugly","cinema paradiso"
"106","tt0016914","the human condition iii: a soldier's prayer","marat/sade","the meaning of life","tampopo"
"107","tt0016938","back to the future","the butterfly effect","pirates of the caribbean: the curse of the black pearl","the wolf of wall street"
"108","tt0017048","sunset boulevard","dr. strangelove or: how i learned to stop worrying and love the bomb","brazil","ran"
"109","tt0017075","casablanca","rear window","vertigo","psycho"
"110","tt0017128","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"111","tt0017136","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange","blade runner"
"112","tt0017162","the wizard of oz","singin' in the rain","aliens","grave of the fireflies"
"113","tt0017350","citizen kane","casablanca","north by northwest","the graduate"
"114","tt0017416","the wizard of oz","casablanca","singin' in the rain","amadeus"
"115","tt0017423","it's a wonderful life","back to the future","brazil","the princess bride"
"116","tt0017449","around the world in 80 days","eyes without a face","blade runner","brazil"
"117","tt0017463","citizen kane","to be or not to be","dr. strangelove or: how i learned to stop worrying and love the bomb","rosemary's baby"
"118","tt0017668","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blue velvet"
"119","tt0017739","the thin man","casablanca","north by northwest","psycho"
"120","tt0017743","citizen kane","the african queen","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"121","tt0017750","cinderella","101 dalmatians","back to the future","the princess bride"
"122","tt0017765","the general","citizen kane","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb"
"123","tt0017925","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"124","tt0017961","the general","johnny guitar","hiroshima mon amour","dead ringers"
"125","tt0017998","blade runner","star wars: episode vi - return of the jedi","labyrinth","the princess bride"
"126","tt0018033","citizen kane","rear window","psycho","a clockwork orange"
"127","tt0018037","the bridge on the river kwai","to kill a mockingbird","the graduate","the princess bride"
"128","tt0018051","the wizard of oz","casablanca","rear window","north by northwest"
"129","tt0018054","the wizard of oz","the third man","north by northwest","2001: a space odyssey"
"130","tt0018097","citizen kane","sunset boulevard","rear window","the umbrellas of cherbourg"
"131","tt0018183","it's a wonderful life","singin' in the rain","an affair to remember","rain man"
"132","tt0018192","citizen kane","sunset boulevard","lawrence of arabia","2001: a space odyssey"
"133","tt0018217","seven samurai","the seventh seal","2001: a space odyssey","a clockwork orange"
"134","tt0018328","blade runner","the terminator","full metal jacket","the ring"
"135","tt0018379","seven samurai","the battle of algiers","2001: a space odyssey","blade runner"
"136","tt0018451","greed","double indemnity","all about eve","the night of the hunter"
"137","tt0018455","citizen kane","rear window","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb"
