,nconst,primaryName
195,nm0000223,Elisabeth Shue
196,nm0000224,Alicia Silverstone
197,nm0000225,Christian Slater
198,nm0000226,Will Smith
199,nm0000227,Mira Sorvino
200,nm0000228,Kevin Spacey
201,nm0000229,Steven Spielberg
202,nm0000230,Sylvester Stallone
203,nm0000231,Oliver Stone
204,nm0000232,Sharon Stone
205,nm0000233,Quentin Tarantino
206,nm0000234,Charlize Theron
207,nm0000235,Uma Thurman
208,nm0000236,Jennifer Tilly
209,nm0000237,John Travolta
210,nm0000241,Jean-Claude Van Damme
211,nm0000242,Mark Wahlberg
212,nm0000243,Denzel Washington
213,nm0000244,Sigourney Weaver
214,nm0000245,Robin Williams
215,nm0000246,Bruce Willis
216,nm0000247,John Woo
217,nm0000248,Edward D. Wood Jr.
218,nm0000249,James Woods
219,nm0000250,Renée Zellweger
220,nm0000252,Robert Ellis
221,nm0000254,Isabelle Adjani
222,nm0000255,Ben Affleck
223,nm0000256,Jenny Agutter
224,nm0000257,Alan Alda
225,nm0000260,Joan Allen
226,nm0000261,Karen Allen
227,nm0000262,Nancy Allen
228,nm0000263,Kirstie Alley
229,nm0000264,Pedro Almodóvar
230,nm0000265,Robert Altman
231,nm0000266,Ursula Andress
232,nm0000267,Julie Andrews
233,nm0000268,Ann-Margret
234,nm0000269,Jean-Jacques Annaud
235,nm0000271,Anne Archer
236,nm0000272,Fanny Ardant
237,nm0000273,Alan Arkin
238,nm0000274,David Arquette
239,nm0000275,Rosanna Arquette
240,nm0000276,Sean Astin
241,nm0000277,Richard Attenborough
242,nm0000278,Pernilla August
243,nm0000281,Scott Baio
244,nm0000282,Scott Bairstow
245,nm0000283,Brenda Bakke
246,nm0000284,Adam Baldwin
247,nm0000285,Alec Baldwin
248,nm0000286,Stephen Baldwin
249,nm0000287,William Baldwin
250,nm0000288,Christian Bale
251,nm0000289,Ellen Barkin
252,nm0000291,Angela Bassett
253,nm0000292,Michelle Bauer
254,nm0000293,Sean Bean
255,nm0000294,Amanda Bearse
256,nm0000295,Kate Beckinsale
257,nm0000296,Robert Beltran
258,nm0000297,Tom Berenger
259,nm0000298,Candice Bergen
260,nm0000299,Michael Biehn
261,nm0000300,Juliette Binoche
262,nm0000301,Thora Birch
263,nm0000302,Jacqueline Bisset
264,nm0000303,Honor Blackman
265,nm0000304,Linda Blair
266,nm0000305,Mel Blanc
267,nm0000306,Brian Blessed
268,nm0000307,Helena Bonham Carter
269,nm0000308,Ernest Borgnine
270,nm0000309,David Bowie
271,nm0000310,Bruce Boxleitner
272,nm0000312,Amy Brenneman
273,nm0000313,Jeff Bridges
274,nm0000314,Charles Bronson
275,nm0000315,Louise Brooks
276,nm0000316,Mel Brooks
277,nm0000317,Clancy Brown
278,nm0000318,Tim Burton
279,nm0000320,Luis Buñuel
280,nm0000321,Gabriel Byrne
281,nm0000322,Emmanuelle Béart
282,nm0000323,Michael Caine
283,nm0000324,Barbara Carrera
284,nm0000325,David Caruso
285,nm0000326,Kim Cattrall
286,nm0000327,Lacey Chabert
287,nm0000328,Richard Chamberlain
288,nm0000329,Jackie Chan
289,nm0000330,Stockard Channing
290,nm0000331,Chevy Chase
291,nm0000332,Don Cheadle
292,nm0000333,Cher
293,nm0000334,Yun-Fat Chow
294,nm0000335,Glenn Close
295,nm0000336,James Coburn
296,nm0000337,Rachael Leigh Cook
297,nm0000338,Francis Ford Coppola
298,nm0000339,Roger Corman
299,nm0000341,Michael Crichton
300,nm0000342,James Cromwell
301,nm0000343,David Cronenberg
302,nm0000344,Denise Crosby
303,nm0000345,Billy Crystal
304,nm0000346,Macaulay Culkin
305,nm0000347,Tim Curry
306,nm0000348,Tony Curtis
307,nm0000349,Joan Cusack
308,nm0000350,Beverly D'Angelo
309,nm0000352,Vincent D'Onofrio
310,nm0000353,Willem Dafoe
