"","nconst","primaryName"
"193","nm0000225","christian slater"
"194","nm0000226","will smith"
"195","nm0000227","mira sorvino"
"196","nm0000228","kevin spacey"
"197","nm0000230","sylvester stallone"
"198","nm0000232","sharon stone"
"199","nm0000233","quentin tarantino"
"200","nm0000234","charlize theron"
"201","nm0000235","uma thurman"
"202","nm0000236","jennifer tilly"
"203","nm0000237","john travolta"
"204","nm0000238","shannon tweed"
"205","nm0000239","liv tyler"
"206","nm0000240","skeet ulrich"
"207","nm0000241","jean-claude van damme"
"208","nm0000242","mark wahlberg"
"209","nm0000243","denzel washington"
"210","nm0000244","sigourney weaver"
"211","nm0000245","robin williams"
"212","nm0000246","bruce willis"
"213","nm0000248","edward d. wood jr."
"214","nm0000249","james woods"
"215","nm0000250","renée zellweger"
"216","nm0000252","robert ellis"
"217","nm0000254","isabelle adjani"
"218","nm0000255","ben affleck"
"219","nm0000256","jenny agutter"
"220","nm0000257","alan alda"
"221","nm0000260","joan allen"
"222","nm0000261","karen allen"
"223","nm0000262","nancy allen"
"224","nm0000263","kirstie alley"
"225","nm0000266","ursula andress"
"226","nm0000267","julie andrews"
"227","nm0000268","ann-margret"
"228","nm0000270","gabrielle anwar"
"229","nm0000271","anne archer"
"230","nm0000272","fanny ardant"
"231","nm0000273","alan arkin"
"232","nm0000274","david arquette"
"233","nm0000275","rosanna arquette"
"234","nm0000276","sean astin"
"235","nm0000277","richard attenborough"
"236","nm0000278","pernilla august"
"237","nm0000279","hank azaria"
"238","nm0000281","scott baio"
"239","nm0000282","scott bairstow"
"240","nm0000283","brenda bakke"
"241","nm0000284","adam baldwin"
"242","nm0000285","alec baldwin"
"243","nm0000286","stephen baldwin"
"244","nm0000287","william baldwin"
"245","nm0000288","christian bale"
"246","nm0000289","ellen barkin"
"247","nm0000291","angela bassett"
"248","nm0000292","michelle bauer"
"249","nm0000293","sean bean"
"250","nm0000294","amanda bearse"
"251","nm0000295","kate beckinsale"
"252","nm0000296","robert beltran"
"253","nm0000297","tom berenger"
"254","nm0000298","candice bergen"
"255","nm0000299","michael biehn"
"256","nm0000300","juliette binoche"
"257","nm0000301","thora birch"
"258","nm0000302","jacqueline bisset"
"259","nm0000303","honor blackman"
"260","nm0000304","linda blair"
"261","nm0000305","mel blanc"
"262","nm0000306","brian blessed"
"263","nm0000307","helena bonham carter"
"264","nm0000308","ernest borgnine"
"265","nm0000309","david bowie"
"266","nm0000310","bruce boxleitner"
"267","nm0000312","amy brenneman"
"268","nm0000313","jeff bridges"
"269","nm0000314","charles bronson"
"270","nm0000315","louise brooks"
"271","nm0000316","mel brooks"
"272","nm0000317","clancy brown"
"273","nm0000319","yancy butler"
"274","nm0000321","gabriel byrne"
"275","nm0000322","emmanuelle béart"
"276","nm0000323","michael caine"
"277","nm0000324","barbara carrera"
"278","nm0000325","david caruso"
"279","nm0000326","kim cattrall"
"280","nm0000327","lacey chabert"
"281","nm0000328","richard chamberlain"
"282","nm0000329","jackie chan"
"283","nm0000330","stockard channing"
"284","nm0000331","chevy chase"
"285","nm0000332","don cheadle"
"286","nm0000333","cher"
"287","nm0000334","yun-fat chow"
"288","nm0000335","glenn close"
"289","nm0000336","james coburn"
"290","nm0000337","rachael leigh cook"
"291","nm0000342","james cromwell"
"292","nm0000344","denise crosby"
"293","nm0000345","billy crystal"
"294","nm0000346","macaulay culkin"
"295","nm0000347","tim curry"
"296","nm0000348","tony curtis"
"297","nm0000349","joan cusack"
"298","nm0000350","beverly d'angelo"
"299","nm0000352","vincent d'onofrio"
"300","nm0000353","willem dafoe"
"301","nm0000354","matt damon"
"302","nm0000356","sybil danning"
"303","nm0000357","lolita davidovich"
"304","nm0000358","daniel day-lewis"
"305","nm0000359","olivier de funès"
"306","nm0000360","rebecca de mornay"
"307","nm0000362","danny devito"
"308","nm0000364","sandra dee"
"309","nm0000365","julie delpy"
"310","nm0000366","catherine deneuve"
"311","nm0000367","gérard depardieu"
"312","nm0000368","laura dern"
"313","nm0000369","matt dillon"
"314","nm0000370","walt disney"
"315","nm0000372","amanda donohoe"
"316","nm0000374","brad dourif"
"317","nm0000375","robert downey jr."
"318","nm0000377","richard dreyfuss"
"319","nm0000378","minnie driver"
"320","nm0000379","kirsten dunst"
"321","nm0000380","robert duvall"
"322","nm0000381","anthony edwards"
"323","nm0000383","jennifer ehle"
"324","nm0000385","sam elliott"
"325","nm0000387","robert englund"
"326","nm0000388","r. lee ermey"
"327","nm0000389","emilio estevez"
"328","nm0000391","rupert everett"
"329","nm0000392","morgan fairchild"
"330","nm0000393","peter falk"
"331","nm0000396","farrah fawcett"
"332","nm0000397","corey feldman"
"333","nm0000398","sally field"
"334","nm0000400","linda fiorentino"
"335","nm0000401","laurence fishburne"
"336","nm0000402","carrie fisher"
"337","nm0000403","bridget fonda"
"338","nm0000404","jane fonda"
"339","nm0000407","vivica a. fox"
"340","nm0000408","jonathan frakes"
"341","nm0000409","brendan fraser"
"342","nm0000410","stephen fry"
"343","nm0000411","edward furlong"
"344","nm0000412","andy garcia"
"345","nm0000413","janeane garofalo"
"346","nm0000414","teri garr"
"347","nm0000415","jami gertz"
"348","nm0000416","terry gilliam"
"349","nm0000417","crispin glover"
"350","nm0000418","danny glover"
"351","nm0000419","jean-luc godard"
"352","nm0000420","valeria golino"
"353","nm0000421","cuba gooding jr."
"354","nm0000422","john goodman"
"355","nm0000423","serena grandi"
"356","nm0000424","hugh grant"
"357","nm0000426","jennifer grey"
"358","nm0000427","pam grier"
"359","nm0000429","melanie griffith"
"360","nm0000430","steve guttenberg"
"361","nm0000432","gene hackman"
"362","nm0000433","corey haim"
"363","nm0000434","mark hamill"
"364","nm0000435","daryl hannah"
"365","nm0000437","woody harrelson"
"366","nm0000438","ed harris"
"367","nm0000439","neil patrick harris"
"368","nm0000441","noah hathaway"
"369","nm0000442","rutger hauer"
"370","nm0000443","goldie hawn"
"371","nm0000444","glenne headly"
"372","nm0000445","dan hedaya"
"373","nm0000446","mariel hemingway"
"374","nm0000447","marilu henner"
"375","nm0000448","lance henriksen"
"376","nm0000449","natasha henstridge"
"377","nm0000450","philip seymour hoffman"
"378","nm0000451","gaby hoffmann"
"379","nm0000452","lauren holly"
"380","nm0000453","ian holm"
"381","nm0000454","dennis hopper"
"382","nm0000456","holly hunter"
"383","nm0000457","john hurt"
"384","nm0000458","william hurt"
"385","nm0000459","timothy hutton"
"386","nm0000460","jeremy irons"
"387","nm0000461","michael ironside"
"388","nm0000462","kate jackson"
"389","nm0000463","famke janssen"
"390","nm0000467","don johnson"
"391","nm0000468","lynn-holly johnson"
"392","nm0000469","james earl jones"
"393","nm0000470","jeffrey jones"
"394","nm0000471","raul julia"
"395","nm0000472","boris karloff"
"396","nm0000473","diane keaton"
"397","nm0000474","michael keaton"
"398","nm0000475","patsy kensit"
"399","nm0000476","sally kirkland"
"400","nm0000477","mia kirshner"
"401","nm0000478","tawny kitaen"
"402","nm0000480","elias koteas"
"403","nm0000481","alice krige"
"404","nm0000482","sylvia kristel"
"405","nm0000483","christopher lambert"
"406","nm0000486","heather langenkamp"
"407","nm0000488","brandon lee"
"408","nm0000489","christopher lee"
"409","nm0000490","spike lee"
"410","nm0000491","john leguizamo"
"411","nm0000492","jennifer jason leigh"
"412","nm0000493","jack lemmon"
"413","nm0000494","robert sean leonard"
"414","nm0000495","téa leoni"
"415","nm0000496","juliette lewis"
"416","nm0000498","matthew lillard"
"417","nm0000499","bai ling"
"418","nm0000500","richard linklater"
"419","nm0000501","ray liotta"
"420","nm0000502","christopher lloyd"
"421","nm0000503","emily lloyd"
"422","nm0000504","amy locane"
"423","nm0000505","nia long"
"424","nm0000506","julia louis-dreyfus"
"425","nm0000507","rob lowe"
"426","nm0000508","carey lowell"
"427","nm0000509","bela lugosi"
"428","nm0000510","andie macdowell"
"429","nm0000511","shirley maclaine"
"430","nm0000513","william h. macy"
"431","nm0000514","michael madsen"
"432","nm0000515","virginia madsen"
"433","nm0000516","lee majors"
"434","nm0000518","john malkovich"
"435","nm0000521","sophie marceau"
"436","nm0000522","vanessa marcil"
"437","nm0000523","julianna margulies"
"438","nm0000524","mary stuart masterson"
"439","nm0000525","heather matarazzo"
"440","nm0000526","samantha mathis"
"441","nm0000527","walter matthau"
"442","nm0000528","mathilda may"
"443","nm0000529","debi mazar"
"444","nm0000530","andrew mccarthy"
"445","nm0000531","frances mcdormand"
"446","nm0000532","malcolm mcdowell"
"447","nm0000534","kelly mcgillis"
"448","nm0000535","rose mcgowan"
"449","nm0000537","steve mcqueen"
"450","nm0000538","colm meaney"
"451","nm0000539","dina meyer"
"452","nm0000541","bette midler"
"453","nm0000542","penelope ann miller"
"454","nm0000543","sal mineo"
"455","nm0000544","carmen miranda"
"456","nm0000545","helen mirren"
"457","nm0000546","matthew modine"
"458","nm0000547","alfred molina"
"459","nm0000548","elizabeth montgomery"
"460","nm0000549","roger moore"
"461","nm0000551","dermot mulroney"
"462","nm0000552","eddie murphy"
"463","nm0000553","liam neeson"
"464","nm0000554","sam neill"
"465","nm0000555","judd nelson"
"466","nm0000556","olivia newton-john"
"467","nm0000557","brigitte nielsen"
"468","nm0000558","leslie nielsen"
"469","nm0000559","leonard nimoy"
"470","nm0000560","nick nolte"
"471","nm0000562","jeremy northam"
"472","nm0000563","chris o'donnell"
"473","nm0000564","peter o'toole"
"474","nm0000565","lena olin"
"475","nm0000566","julia ormond"
"476","nm0000568","frank oz"
"477","nm0000569","gwyneth paltrow"
"478","nm0000571","mary-louise parker"
"479","nm0000572","sarah jessica parker"
"480","nm0000573","dolly parton"
"481","nm0000574","jason patric"
"482","nm0000575","alexandra paul"
"483","nm0000576","sean penn"
"484","nm0000577","george peppard"
"485","nm0000578","anthony perkins"
"486","nm0000579","ron perlman"
"487","nm0000580","luke perry"
"488","nm0000582","joe pesci"
"489","nm0000584","amanda peterson"
"490","nm0000585","robert picardo"
"491","nm0000586","jada pinkett smith"
"492","nm0000587","donald pleasence"
"493","nm0000588","martha plimpton"
"494","nm0000591","roman polanski"
"495","nm0000592","pete postlethwaite"
"496","nm0000593","kelly preston"
"497","nm0000594","jason priestley"
"498","nm0000596","jonathan pryce"
"499","nm0000597","bill pullman"
"500","nm0000598","dennis quaid"
"501","nm0000599","kathleen quinlan"
"502","nm0000601","harold ramis"
"503","nm0000602","robert redford"
"504","nm0000603","vanessa redgrave"
"505","nm0000604","john c. reilly"
"506","nm0000605","brad renfro"
"507","nm0000606","jean reno"
"508","nm0000607","paul reubens"
"509","nm0000608","burt reynolds"
"510","nm0000609","ving rhames"
"511","nm0000610","giovanni ribisi"
"512","nm0000612","denise richards"
"513","nm0000613","joely richardson"
"514","nm0000614","alan rickman"
"515","nm0000615","john ritter"
"516","nm0000616","eric roberts"
"517","nm0000617","tanya roberts"
"518","nm0000618","isabella rossellini"
"519","nm0000619","tim roth"
"520","nm0000620","mickey rourke"
"521","nm0000621","kurt russell"
"522","nm0000622","theresa russell"
"523","nm0000623","rene russo"
"524","nm0000624","laura san giacomo"
"525","nm0000625","fred savage"
"526","nm0000626","john sayles"
"527","nm0000627","greta scacchi"
"528","nm0000628","johnathon schaech"
"529","nm0000630","liev schreiber"
"530","nm0000632","jerry seinfeld"
"531","nm0000633","tom selleck"
"532","nm0000634","peter sellers"
"533","nm0000635","yahoo serious"
"534","nm0000638","william shatner"
"535","nm0000639","ally sheedy"
"536","nm0000640","martin sheen"
"537","nm0000641","gary sinise"
"538","nm0000643","tom skerritt"
"539","nm0000644","helen slater"
"540","nm0000646","jaclyn smith"
"541","nm0000648","wesley snipes"
"542","nm0000649","paul sorvino"
"543","nm0000650","talisa soto"
"544","nm0000651","sissy spacek"
"545","nm0000652","james spader"
"546","nm0000653","brent spiner"
"547","nm0000654","terence stamp"
"548","nm0000655","eric stoltz"
"549","nm0000656","madeleine stowe"
"550","nm0000657","david strathairn"
"551","nm0000658","meryl streep"
"552","nm0000659","barbra streisand"
"553","nm0000660","tami stronach"
"554","nm0000661","donald sutherland"
"555","nm0000662","kiefer sutherland"
"556","nm0000663","dominique swain"
"557","nm0000664","patrick swayze"
"558","nm0000665","d.b. sweeney"
"559","nm0000666","lili taylor"
"560","nm0000667","david thewlis"
"561","nm0000668","emma thompson"
"562","nm0000669","fred dalton thompson"
"563","nm0000670","lea thompson"
"564","nm0000671","billy bob thornton"
"565","nm0000672","meg tilly"
"566","nm0000673","marisa tomei"
"567","nm0000674","tamlyn tomita"
"568","nm0000675","jeanne tripplehorn"
"569","nm0000676","chris tucker"
"570","nm0000677","robin tunney"
"571","nm0000678","kathleen turner"
"572","nm0000679","deborah kara unger"
"573","nm0000680","casper van dien"
"574","nm0000681","vince vaughn"
"575","nm0000685","jon voight"
"576","nm0000686","christopher walken"
"577","nm0000687","j.t. walsh"
"578","nm0000688","sela ward"
"579","nm0000690","lesley ann warren"
"580","nm0000691","john waters"
"581","nm0000693","peter weller"
"582","nm0000695","joanne whalley"
"583","nm0000696","wil wheaton"
"584","nm0000698","gene wilder"
"585","nm0000699","michael wincott"
"586","nm0000700","debra winger"
"587","nm0000701","kate winslet"
"588","nm0000702","reese witherspoon"
"589","nm0000703","bd wong"
"590","nm0000704","elijah wood"
"591","nm0000705","robin wright"
"592","nm0000706","michelle yeoh"
"593","nm0000707","sean young"
"594","nm0000708","billy zane"
"595","nm0000714","willie aames"
"596","nm0000715","caroline aaron"
"597","nm0000719","f. murray abraham"
"598","nm0000721","victoria abril"
"599","nm0000722","joss ackland"
"600","nm0000724","brooke adams"
"601","nm0000725","joey lauren adams"
"602","nm0000726","maud adams"
"603","nm0000728","mario adorf"
"604","nm0000729","casey affleck"
"605","nm0000730","john agar"
"606","nm0000731","brian aherne"
"607","nm0000732","danny aiello"
"608","nm0000733","anouk aimée"
"609","nm0000734","eddie albert"
"610","nm0000737","jane alexander"
"611","nm0000739","debbie allen"
"612","nm0000741","tim allen"
"613","nm0000742","june allyson"
"614","nm0000744","maria conchita alonso"
"615","nm0000746","trini alvarado"
"616","nm0000747","don ameche"
"617","nm0000748","leon ames"
"618","nm0000751","suzy amis"
"619","nm0000752","judith anderson"
"620","nm0000754","kevin anderson"
"621","nm0000758","melody anderson"
"622","nm0000761","bibi andersson"
"623","nm0000762","anthony andrews"
"624","nm0000763","dana andrews"
"625","nm0000765","pier angeli"
"626","nm0000767","jean-hugues anglade"
"627","nm0000768","francesca annis"
"628","nm0000771","lysette anthony"
"629","nm0000773","laura antonelli"
"630","nm0000775","christina applegate"
"631","nm0000778","alfonso arau"
"632","nm0000779","roscoe 'fatty' arbuckle"
"633","nm0000781","eve arden"
"634","nm0000782","asia argento"
"635","nm0000784","pedro armendáriz"
"636","nm0000787","bess armstrong"
"637","nm0000789","desi arnaz"
"638","nm0000790","james arness"
"639","nm0000792","tom arnold"
"640","nm0000795","jean arthur"
"641","nm0000796","dana ashbrook"
"642","nm0000798","linden ashby"
"643","nm0000799","edward asner"
"644","nm0000800","armand assante"
"645","nm0000802","mary astor"
"646","nm0000803","christopher atkins"
"647","nm0000804","stéphane audran"
"648","nm0000805","claudine auger"
"649","nm0000809","daniel auteuil"
"650","nm0000810","gene autry"
"651","nm0000811","frankie avalon"
"652","nm0000812","roger avary"
"653","nm0000815","mili avital"
"654","nm0000817","lew ayres"
"655","nm0000818","shabana azmi"
"656","nm0000819","barbara bach"
"657","nm0000821","amitabh bachchan"
"658","nm0000822","jim backus"
"659","nm0000825","mary badham"
"660","nm0000826","jane badler"
"661","nm0000828","barbara bain"
"662","nm0000832","diane baker"
"663","nm0000833","joe don baker"
"664","nm0000834","kathy baker"
"665","nm0000837","bob balaban"
"666","nm0000838","daniel baldwin"
"667","nm0000839","ina balin"
"668","nm0000840","lucille ball"
"669","nm0000842","martin balsam"
"670","nm0000843","anne bancroft"
"671","nm0000845","tallulah bankhead"
"672","nm0000846","ian bannen"
"673","nm0000847","theda bara"
"674","nm0000848","olivia barash"
"675","nm0000849","javier bardem"
"676","nm0000851","lex barker"
"677","nm0000852","jean-marc barr"
"678","nm0000855","raymond j. barry"
"679","nm0000856","ethel barrymore"
"680","nm0000857","john drew barrymore"
"681","nm0000858","john barrymore"
"682","nm0000859","lionel barrymore"
"683","nm0000860","paul bartel"
"684","nm0000861","freddie bartholomew"
"685","nm0000863","billy barty"
"686","nm0000864","mikhail baryshnikov"
"687","nm0000865","richard basehart"
"688","nm0000867","jason bateman"
"689","nm0000868","justine bateman"
"690","nm0000869","alan bates"
"691","nm0000870","kathy bates"
"692","nm0000871","randall batinkoff"
"693","nm0000872","patrick bauchau"
"694","nm0000873","belinda bauer"
"695","nm0000874","steven bauer"
"696","nm0000879","anne baxter"
"697","nm0000880","meredith baxter"
"698","nm0000882","nathalie baye"
"699","nm0000883","stephanie beacham"
"700","nm0000884","jennifer beals"
"701","nm0000885","ned beatty"
"702","nm0000886","warren beatty"
"703","nm0000888","meret becker"
"704","nm0000889","bonnie bedelia"
"705","nm0000890","noah beery jr."
"706","nm0000891","wallace beery"
"707","nm0000892","jason beghe"
"708","nm0000893","ed begley jr."
"709","nm0000895","barbara bel geddes"
"710","nm0000896","harry belafonte"
"711","nm0000897","ralph bellamy"
"712","nm0000898","kathleen beller"
"713","nm0000899","monica bellucci"
"714","nm0000901","jean-paul belmondo"
"715","nm0000902","jim belushi"
"716","nm0000904","william bendix"
"717","nm0000905","roberto benigni"
"718","nm0000906","annette bening"
"719","nm0000907","richard benjamin"
"720","nm0000908","david bennent"
"721","nm0000909","constance bennett"
"722","nm0000910","joan bennett"
"723","nm0000911","nigel bennett"
"724","nm0000912","jack benny"
"725","nm0000913","robby benson"
"726","nm0000916","peter berg"
"727","nm0000917","polly bergen"
"728","nm0000918","helmut berger"
"729","nm0000919","senta berger"
"730","nm0000920","patrick bergin"
"731","nm0000922","sandahl bergman"
"732","nm0000924","elizabeth berkley"
"733","nm0000925","steven berkoff"
"734","nm0000926","milton berle"
"735","nm0000928","sandra bernhard"
"736","nm0000929","corbin bernsen"
"737","nm0000931","elizabeth berridge"
"738","nm0000932","halle berry"
"739","nm0000933","valerie bertinelli"
"740","nm0000935","bibi besch"
"741","nm0000936","martine beswick"
"742","nm0000937","richard beymer"
"743","nm0000938","daniela bianchi"
"744","nm0000942","theodore bikel"
"745","nm0000945","jane birkin"
"746","nm0000946","whit bissell"
"747","nm0000947","karen black"
"748","nm0000949","cate blanchett"
"749","nm0000950","brenda blethyn"
"750","nm0000951","joan blondell"
"751","nm0000952","hart bochner"
"752","nm0000953","peter bogdanovich"
"753","nm0000954","jon bon jovi"
"754","nm0000955","ward bond"
"755","nm0000956","lisa bonet"
"756","nm0000959","powers boothe"
"757","nm0000960","barry bostwick"
"758","nm0000961","timothy bottoms"
"759","nm0000962","carole bouquet"
"760","nm0000963","stephen boyd"
"761","nm0000964","charles boyer"
"762","nm0000966","lorraine bracco"
"763","nm0000967","eric braeden"
"764","nm0000968","sônia braga"
"765","nm0000969","lillo brancato"
"766","nm0000970","jonathan brandis"
"767","nm0000971","nicoletta braschi"
"768","nm0000973","benjamin bratt"
"769","nm0000974","walter brennan"
"770","nm0000977","beau bridges"
"771","nm0000978","lloyd bridges"
"772","nm0000979","wilford brimley"
"773","nm0000980","jim broadbent"
"774","nm0000981","james brolin"
"775","nm0000982","josh brolin"
"776","nm0000983","albert brooks"
"777","nm0000986","bryan brown"
"778","nm0000987","jim brown"
"779","nm0000989","yul brynner"
"780","nm0000990","betty buckley"
"781","nm0000991","geneviève bujold"
"782","nm0000992","billie burke"
"783","nm0000993","carol burnett"
"784","nm0000994","raymond burr"
"785","nm0000995","ellen burstyn"
"786","nm0000996","levar burton"
"787","nm0000997","gary busey"
"788","nm0000998","jake busey"
"789","nm0000999","red buttons"
"790","nm0001001","james caan"
"791","nm0001002","dean cain"
"792","nm0001003","simon callow"
"793","nm0001004","billy campbell"
"794","nm0001006","john candy"
"795","nm0001007","dyan cannon"
"796","nm0001009","kate capshaw"
"797","nm0001010","capucine"
"798","nm0001011","irene cara"
"799","nm0001012","claudia cardinale"
"800","nm0001013","harry carey jr."
"801","nm0001014","mariah carey"
"802","nm0001015","robert carlyle"
"803","nm0001016","david carradine"
"804","nm0001017","john carradine"
"805","nm0001018","keith carradine"
"806","nm0001019","robert carradine"
"807","nm0001021","veronica cartwright"
"808","nm0001022","dana carvey"
"809","nm0001023","john cassavetes"
"810","nm0001024","nick cassavetes"
"811","nm0001025","seymour cassel"
"812","nm0001026","joanna cassidy"
"813","nm0001028","maxwell caulfield"
"814","nm0001029","jim caviezel"
"815","nm0001031","claude chabrol"
"816","nm0001033","lon chaney jr."
"817","nm0001034","rosalind chao"
"818","nm0001035","ben chaplin"
"819","nm0001036","geraldine chaplin"
"820","nm0001037","graham chapman"
"821","nm0001038","josh charles"
"822","nm0001040","joan chen"
"823","nm0001041","maggie cheung"
"824","nm0001042","lois chiles"
"825","nm0001043","anna chlumsky"
"826","nm0001044","rae dawn chong"
"827","nm0001045","tommy chong"
"828","nm0001046","julie christie"
"829","nm0001049","jill clayburgh"
"830","nm0001050","montgomery clift"
"831","nm0001051","bill clinton"
"832","nm0001055","claudette colbert"
"833","nm0001056","dabney coleman"
"834","nm0001057","toni collette"
"835","nm0001058","joan collins"
"836","nm0001059","robbie coltrane"
"837","nm0001062","jeffrey combs"
"838","nm0001063","jeff conaway"
"839","nm0001064","jason connery"
"840","nm0001065","harry connick jr."
"841","nm0001066","robert conrad"
"842","nm0001067","jackie coogan"
