"","tconst","directors"
"395","tt0018392","nm0104197"
"396","tt0018392","nm0002190"
"397","tt0018397","nm0115218"
"398","tt0018440","nm0781292"
"399","tt0018451","nm0523932"
"400","tt0018451","nm0821472"
"401","tt0018455","nm0003638"
"402","tt0018471","nm0384276"
"403","tt0018515","nm0587277"
"404","tt0018523","nm0163229"
"405","tt0018526","nm0903049"
"406","tt0018526","nm0744504"
"407","tt0018528","nm0115218"
"408","tt0018530","nm0000406"
"409","tt0018566","nm0189076"
"410","tt0018578","nm0920074"
"411","tt0018578","nm0195496"
"412","tt0018618","nm0631438"
"413","tt0018737","nm0655065"
"414","tt0018742","nm0000036"
"415","tt0018742","nm0781292"
"416","tt0018756","nm0000033"
"417","tt0018770","nm0258477"
"418","tt0018773","nm0000122"
"419","tt0018795","nm0113284"
"420","tt0018795","nm0384276"
"421","tt0018806","nm0896542"
"422","tt0018826","nm0163229"
"423","tt0018836","nm0803705"
"424","tt0018839","nm0903049"
"425","tt0018876","nm0000033"
"426","tt0018908","nm0578985"
"427","tt0018908","nm0178260"
"428","tt0018908","nm0774325"
"429","tt0018909","nm0000406"
"430","tt0018935","nm0226189"
"431","tt0018937","nm0001328"
"432","tt0018972","nm0000406"
"433","tt0019067","nm0502752"
"434","tt0019071","nm0903049"
"435","tt0019074","nm0107543"
"436","tt0019096","nm0289381"
"437","tt0019109","nm0270838"
"438","tt0019130","nm0501902"
"439","tt0019195","nm0629243"
"440","tt0019225","nm0895048"
"441","tt0019237","nm0064600"
"442","tt0019254","nm0003433"
"443","tt0019258","nm0896542"
"444","tt0019286","nm0699877"
"445","tt0019304","nm0587277"
"446","tt0019344","nm0909825"
"447","tt0019379","nm0896542"
"448","tt0019400","nm0176699"
"449","tt0019403","nm0435563"
"450","tt0019412","nm0928514"
"451","tt0019415","nm0000485"
"452","tt0019421","nm0000036"
"453","tt0019421","nm0718469"
"454","tt0019429","nm0097648"
"455","tt0019434","nm0001008"
"456","tt0019434","nm0929649"
"457","tt0019451","nm0853130"
"458","tt0019451","nm0587277"
"459","tt0019451","nm0869645"
"460","tt0019486","nm0719756"
"461","tt0019489","nm0113284"
"462","tt0019509","nm0002190"
"463","tt0019532","nm0624756"
"464","tt0019557","nm0515979"
"465","tt0019558","nm0002233"
"466","tt0019563","nm0115218"
"467","tt0019571","nm0176699"
"468","tt0019574","nm0886754"
"469","tt0019574","nm0280904"
"470","tt0019585","nm0803705"
"471","tt0019591","nm0113284"
"472","tt0019611","nm0235590"
"473","tt0019630","nm0922327"
"474","tt0019644","nm0541149"
"475","tt0019646","nm0478303"
"476","tt0019649","nm0235590"
"477","tt0019655","nm0562004"
"478","tt0019684","nm0191899"
"479","tt0019699","nm0000406"
"480","tt0019702","nm0000033"
"481","tt0019725","nm0270838"
"482","tt0019726","nm0503777"
"483","tt0019729","nm0064600"
"484","tt0019735","nm0428059"
"485","tt0019760","nm0895048"
"486","tt0019777","nm0282984"
"487","tt0019777","nm0763798"
"488","tt0019788","nm0853130"
"489","tt0019813","nm0215877"
"490","tt0019823","nm0337586"
"491","tt0019824","nm0515979"
"492","tt0019843","nm0001124"
"493","tt0019850","nm0532561"
"494","tt0019886","nm0384276"
"495","tt0019901","nm0000485"
"496","tt0019935","nm0001124"
"497","tt0019946","nm0002233"
"498","tt0019946","nm0190516"
"499","tt0019959","nm0896542"
"500","tt0019993","nm0127511"
"501","tt0019993","nm0718469"
"502","tt0020018","nm0191899"
"503","tt0020030","nm0245385"
"504","tt0020062","nm0275494"
"505","tt0020075","nm0774256"
"506","tt0020092","nm0510839"
"507","tt0020103","nm0280463"
"508","tt0020112","nm0523932"
"509","tt0020114","nm0943758"
"510","tt0020122","nm0097648"
"511","tt0020142","nm0000033"
"512","tt0020163","nm0880618"
"513","tt0020163","nm0322843"
"514","tt0020163","nm0802563"
"515","tt0020163","nm0802561"
"516","tt0020163","nm0003593"
"517","tt0020198","nm0399203"
"518","tt0020198","nm0159725"
"519","tt0020198","nm0869665"
"520","tt0020210","nm0113284"
"521","tt0020217","nm0587277"
"522","tt0020223","nm0953123"
"523","tt0020223","nm0002031"
"524","tt0020230","nm0871185"
"525","tt0020230","nm0468882"
"526","tt0020247","nm0176699"
"527","tt0020269","nm0243295"
"528","tt0020298","nm0092915"
"529","tt0020298","nm0002233"
"530","tt0020336","nm0718469"
"531","tt0020425","nm0939992"
"532","tt0020439","nm0064600"
"533","tt0020442","nm0781292"
"534","tt0020442","nm0000036"
"535","tt0020446","nm0466099"
"536","tt0020466","nm0124877"
"537","tt0020475","nm0655065"
"538","tt0020479","nm0853130"
"539","tt0020488","nm0394399"
"540","tt0020499","nm0903049"
"541","tt0020514","nm0332539"
"542","tt0020523","nm0877111"
"543","tt0020556","nm0281808"
"544","tt0020570","nm0266691"
"545","tt0020570","nm0655065"
"546","tt0020581","nm0115218"
"547","tt0020585","nm0782682"
"548","tt0020589","nm0291548"
"549","tt0020590","nm0002188"
"550","tt0020594","\N"
"551","tt0020620","nm0000428"
"552","tt0020629","nm0587277"
"553","tt0020640","nm0373511"
"554","tt0020641","nm0113284"
"555","tt0020656","nm0245213"
"556","tt0020668","nm0922327"
"557","tt0020686","nm0934980"
"558","tt0020686","nm0384276"
"559","tt0020691","nm0517264"
"560","tt0020691","nm0909825"
"561","tt0020693","nm0896542"
"562","tt0020695","nm0123556"
"563","tt0020695","nm0342417"
"564","tt0020697","nm0903049"
"565","tt0020701","nm0534226"
"566","tt0020702","nm0072185"
"567","tt0020702","nm0000406"
"568","tt0020713","nm0002031"
"569","tt0020768","nm0003638"
"570","tt0020793","nm0002190"
"571","tt0020799","nm0806061"
"572","tt0020814","nm0245213"
"573","tt0020815","nm0001328"
"574","tt0020821","nm0280463"
"575","tt0020827","nm0502752"
"576","tt0020836","nm0562845"
"577","tt0020838","nm0781292"
"578","tt0020852","nm0401323"
"579","tt0020852","nm0615208"
"580","tt0020852","nm0153266"
"581","tt0020852","nm0000033"
"582","tt0020876","nm0516001"
"583","tt0020876","nm0115669"
"584","tt0020891","nm0064600"
"585","tt0020902","nm0781292"
"586","tt0020919","nm0939992"
"587","tt0020945","nm0806061"
"588","tt0020960","nm0400652"
"589","tt0020960","nm0332539"
"590","tt0020960","nm0001843"
"591","tt0020980","nm0654868"
"592","tt0020987","nm0166836"
"593","tt0021015","nm0000033"
"594","tt0021016","nm0124877"
"595","tt0021025","nm0026960"
"596","tt0021040","nm0001008"
"597","tt0021042","nm0291548"
"598","tt0021060","nm0502752"
"599","tt0021074","nm0097648"
"600","tt0021079","nm0503777"
"601","tt0021087","nm0928514"
"602","tt0021100","nm0718469"
"603","tt0021106","nm0001124"
"604","tt0021110","nm0002031"
"605","tt0021140","nm0000406"
"606","tt0021148","nm0384276"
"607","tt0021153","nm0523932"
"608","tt0021156","nm0903049"
"609","tt0021165","nm0000033"
"610","tt0021189","nm0896542"
"611","tt0021197","nm0045800"
"612","tt0021197","nm0002031"
"613","tt0021223","nm0064600"
"614","tt0021228","nm0939992"
"615","tt0021240","nm0210352"
"616","tt0021273","nm0312866"
"617","tt0021281","nm0280463"
"618","tt0021281","nm0195496"
"619","tt0021282","nm0001008"
"620","tt0021283","nm0654868"
"621","tt0021294","nm0781292"
"622","tt0021294","nm0342417"
"623","tt0021294","nm0820461"
"624","tt0021309","nm0823088"
"625","tt0021309","nm0823089"
"626","tt0021310","nm0113284"
"627","tt0021331","nm0168413"
"628","tt0021345","nm0749484"
"629","tt0021345","nm0000859"
"630","tt0021371","nm0503777"
"631","tt0021375","nm0895048"
"632","tt0021394","nm0045800"
"633","tt0021406","nm0654868"
"634","tt0021408","nm0831577"
"635","tt0021409","nm0163229"
"636","tt0021413","nm0227020"
"637","tt0021472","nm0215877"
"638","tt0021505","nm0176699"
"639","tt0021508","nm0000406"
"640","tt0021542","nm0655065"
"641","tt0021549","nm0293260"
"642","tt0021550","nm0562845"
"643","tt0021551","nm0166836"
"644","tt0021568","nm0068419"
"645","tt0021571","nm0235590"
"646","tt0021577","nm0000320"
"647","tt0021595","nm0012317"
"648","tt0021607","nm0903049"
"649","tt0021622","nm0000406"
"650","tt0021632","nm0792514"
"651","tt0021633","nm0502752"
"652","tt0021635","nm0097648"
"653","tt0021647","nm0215877"
"654","tt0021649","nm0114266"
"655","tt0021668","nm0532187"
"656","tt0021673","nm0215877"
"657","tt0021730","nm0896542"
"658","tt0021733","nm0532187"
"659","tt0021739","nm0719756"
"660","tt0021746","nm0749484"
"661","tt0021749","nm0000122"
"662","tt0021750","nm0541149"
"663","tt0021761","nm0806061"
"664","tt0021763","nm0127511"
"665","tt0021768","nm0166836"
"666","tt0021770","nm0001328"
"667","tt0021778","nm0064600"
"668","tt0021780","nm0176699"
"669","tt0021799","nm0001008"
"670","tt0021800","nm0903049"
"671","tt0021807","nm0397678"
"672","tt0021814","nm0115218"
"673","tt0021818","nm0655065"
"674","tt0021836","nm0483944"
"675","tt0021873","nm0503777"
"676","tt0021874","nm0502752"
"677","tt0021884","nm0001843"
"678","tt0021885","nm0113284"
"679","tt0021890","nm0587277"
"680","tt0021910","nm0002030"
"681","tt0021917","nm0002031"
"682","tt0021919","nm0337586"
"683","tt0021931","nm0291548"
"684","tt0021933","nm0886754"
"685","tt0021933","nm0000859"
"686","tt0021969","nm0002188"
"687","tt0021992","nm0562845"
"688","tt0022002","nm0115218"
"689","tt0022017","nm0655065"
"690","tt0022021","nm0045800"
"691","tt0022026","nm0853130"
"692","tt0022054","nm0226189"
"693","tt0022059","nm0064600"
"694","tt0022074","nm0523932"
"695","tt0022080","nm0670643"
"696","tt0022100","nm0000485"
"697","tt0022103","nm0002031"
"698","tt0022111","nm0215877"
"699","tt0022117","nm0939992"
"700","tt0022119","nm0908831"
"701","tt0022119","nm0329066"
"702","tt0022125","nm0466099"
"703","tt0022149","nm0227020"
"704","tt0022150","nm0163229"
"705","tt0022151","nm0012317"
"706","tt0022153","nm0001008"
"707","tt0022158","nm0572851"
"708","tt0022183","nm0755985"
"709","tt0022183","nm0296193"
"710","tt0022191","nm0166836"
"711","tt0022208","nm0920074"
"712","tt0022235","nm0655065"
"713","tt0022236","nm0920074"
"714","tt0022251","nm0663613"
"715","tt0022254","nm0781292"
"716","tt0022264","nm0731910"
"717","tt0022268","nm0001008"
"718","tt0022276","nm0113284"
"719","tt0022279","nm0291548"
"720","tt0022286","nm0920074"
"721","tt0022335","nm0920074"
"722","tt0022353","nm0000406"
"723","tt0022357","nm0384276"
"724","tt0022382","nm0925028"
"725","tt0022382","nm0616893"
"726","tt0022386","nm0783629"
"727","tt0022395","nm0000033"
"728","tt0022397","nm0851537"
"729","tt0022403","nm0337586"
"730","tt0022409","nm0002031"
"731","tt0022430","nm0920074"
"732","tt0022436","nm0896542"
"733","tt0022440","nm0000428"
"734","tt0022453","nm0502752"
"735","tt0022454","nm0562845"
"736","tt0022458","nm0003638"
"737","tt0022485","nm0654868"
"738","tt0022495","nm0886754"
"739","tt0022531","nm0066247"
"740","tt0022531","nm0247484"
"741","tt0022537","nm0295920"
"742","tt0022537","nm0577654"
"743","tt0022550","nm0001843"
"744","tt0022599","nm0163229"
"745","tt0022619","nm0045800"
"746","tt0022619","nm0002031"
"747","tt0022626","nm0001008"
"748","tt0022626","nm0245385"
"749","tt0022626","nm0624756"
"750","tt0022628","nm0002030"
"751","tt0022628","nm0341486"
"752","tt0022635","nm0064600"
"753","tt0022639","nm0176699"
"754","tt0022660","nm0102643"
"755","tt0022676","nm0503777"
"756","tt0022681","nm0942862"
"757","tt0022682","nm0125636"
"758","tt0022689","nm0896542"
"759","tt0022694","nm0726166"
"760","tt0022694","nm0051354"
"761","tt0022696","nm0215877"
"762","tt0022698","nm0903049"
"763","tt0022700","nm0332539"
"764","tt0022718","nm0719756"
"765","tt0022725","nm0523932"
"766","tt0022735","nm0002031"
"767","tt0022737","nm0227020"
"768","tt0022753","nm0580017"
"769","tt0022753","nm0890085"
"770","tt0022755","nm0090007"
"771","tt0022775","nm0920074"
"772","tt0022778","nm0920074"
"773","tt0022787","nm0076368"
"774","tt0022792","nm0001328"
"775","tt0022802","nm0337586"
"776","tt0022827","nm0002031"
"777","tt0022834","nm0068419"
"778","tt0022835","nm0541149"
"779","tt0022854","nm0113284"
"780","tt0022873","nm0064600"
"781","tt0022877","nm0002165"
"782","tt0022879","nm0097648"
"783","tt0022882","nm0939992"
"784","tt0022882","nm0689471"
"785","tt0022905","nm0001008"
"786","tt0022913","nm0115218"
"787","tt0022921","nm0292134"
"788","tt0022958","nm0332539"
"789","tt0022979","nm0920074"
"790","tt0022981","nm0942611"
"791","tt0022990","nm0114602"
"792","tt0023027","nm0572851"
"793","tt0023028","nm0782682"
"794","tt0023038","nm0769585"
"795","tt0023038","nm0569645"
"796","tt0023042","nm0503777"
"797","tt0023049","nm0731596"
"798","tt0023049","nm0401680"
"799","tt0023049","nm0782682"
"800","tt0023049","nm0578985"
"801","tt0023049","nm0523932"
"802","tt0023049","nm0851537"
"803","tt0023049","nm0572851"
"804","tt0023049","nm0190516"
"805","tt0023074","nm0226189"
"806","tt0023101","nm0184738"
"807","tt0023125","nm0226189"
"808","tt0023137","nm0514822"
"809","tt0023145","nm0002061"
"810","tt0023151","nm0002179"
"811","tt0023158","nm0541149"
"812","tt0023180","nm0226189"
"813","tt0023181","nm0012317"
"814","tt0023194","nm0896533"
"815","tt0023194","nm0102643"
"816","tt0023196","nm0280463"
"817","tt0023198","nm0107854"
"818","tt0023198","nm0445033"
"819","tt0023202","nm0909825"
"820","tt0023225","nm0166836"
"821","tt0023236","nm0833965"
"822","tt0023238","nm0774325"
"823","tt0023238","nm0681635"
"824","tt0023240","nm0282549"
"825","tt0023240","nm0637790"
"826","tt0023241","nm0115669"
"827","tt0023241","nm0516001"
"828","tt0023243","nm0840042"
"829","tt0023245","nm0005713"
"830","tt0023249","nm0282984"
"831","tt0023261","nm0621540"
"832","tt0023268","nm0886754"
"833","tt0023271","nm0377126"
"834","tt0023277","nm0749484"
"835","tt0023284","nm0719756"
"836","tt0023285","nm0000033"
"837","tt0023293","nm0001843"
"838","tt0023303","nm0523932"
"839","tt0023303","nm0002030"
"840","tt0023305","nm0307819"
"841","tt0023312","nm0550892"
"842","tt0023312","nm0085295"
"843","tt0023312","nm0564971"
"844","tt0023312","nm0294137"
"845","tt0023322","nm0781292"
"846","tt0023326","nm0578985"
"847","tt0023327","nm0002179"
"848","tt0023331","nm0412235"
"849","tt0023335","nm0747844"
"850","tt0023345","nm0245213"
"851","tt0023349","nm0763453"
"852","tt0023362","nm0920074"
"853","tt0023369","nm0587277"
"854","tt0023374","nm0092915"
"855","tt0023374","nm0102643"
"856","tt0023382","nm0281808"
"857","tt0023385","nm0176699"
"858","tt0023394","nm0337586"
"859","tt0023395","nm0000033"
"860","tt0023396","nm0020522"
"861","tt0023427","nm0001328"
"862","tt0023427","nm0744514"
"863","tt0023450","nm0654868"
"864","tt0023456","nm0066247"
"865","tt0023456","nm0247484"
"866","tt0023458","nm0903049"
"867","tt0023469","nm0194031"
"868","tt0023470","nm0001124"
"869","tt0023486","nm0783629"
"870","tt0023488","nm0291548"
"871","tt0023491","nm0920074"
"872","tt0023495","nm0502752"
"873","tt0023495","nm0113284"
